column_name,non_null,unique_count,dtype
gbifID,584592,584592,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,584592,1,object
modified,584592,11792,object
publisher,584592,1,object
references,0,0,float64
rightsHolder,0,0,float64
type,0,0,float64
institutionID,584592,1,object
collectionID,584592,1,object
datasetID,0,0,float64
institutionCode,584592,1,object
collectionCode,584592,1,object
datasetName,584592,1,object
ownerInstitutionCode,0,0,float64
basisOfRecord,584592,1,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,584592,584592,object
catalogNumber,584592,584592,object
recordNumber,118,4,object
recordedBy,577469,13250,object
recordedByID,0,0,float64
individualCount,584592,49,int64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,472288,2,object
lifeStage,125085,7,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,584592,1,object
preparations,584586,132,object
disposition,0,0,float64
associatedOccurrences,0,0,float64
associatedReferences,0,0,float64
associatedSequences,4487,4430,object
associatedTaxa,0,0,float64
otherCatalogNumbers,0,0,float64
occurrenceRemarks,12178,7341,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,0,0,float64
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,0,0,float64
eventDate,543231,51161,object
eventTime,0,0,float64
startDayOfYear,510523,366,float64
endDayOfYear,510523,366,float64
year,543216,204,float64
month,530715,12,float64
day,510158,31,float64
verbatimEventDate,349150,43994,object
habitat,17237,4924,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,0,0,float64
higherGeographyID,0,0,float64
higherGeography,584590,6798,object
continent,557092,7,object
waterBody,26077,67,object
islandGroup,0,0,float64
island,0,0,float64
countryCode,580856,216,object
stateProvince,490721,2242,object
county,231020,3216,object
municipality,0,0,float64
locality,477041,64255,object
verbatimLocality,0,0,float64
verbatimElevation,1269,196,object
verticalDatum,0,0,float64
verbatimDepth,0,0,float64
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,28026,3290,float64
decimalLongitude,28026,3651,float64
coordinateUncertaintyInMeters,0,0,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,17311,4,object
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,0,0,float64
georeferencedDate,0,0,float64
georeferenceProtocol,1250,11,object
georeferenceSources,0,0,float64
georeferenceRemarks,0,0,float64
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
latestEonOrHighestEonothem,0,0,float64
earliestEraOrLowestErathem,0,0,float64
latestEraOrHighestErathem,0,0,float64
earliestPeriodOrLowestSystem,0,0,float64
latestPeriodOrHighestSystem,0,0,float64
earliestEpochOrLowestSeries,0,0,float64
latestEpochOrHighestSeries,0,0,float64
earliestAgeOrLowestStage,0,0,float64
latestAgeOrHighestStage,0,0,float64
lowestBiostratigraphicZone,0,0,float64
highestBiostratigraphicZone,0,0,float64
lithostratigraphicTerms,0,0,float64
group,0,0,float64
formation,0,0,float64
member,0,0,float64
bed,0,0,float64
identificationID,0,0,float64
verbatimIdentification,0,0,float64
identificationQualifier,698,5,object
typeStatus,3960,3,object
identifiedBy,3386,69,object
identifiedByID,0,0,float64
dateIdentified,0,0,float64
identificationReferences,0,0,float64
identificationVerificationStatus,0,0,float64
identificationRemarks,0,0,float64
taxonID,0,0,float64
scientificNameID,0,0,float64
acceptedNameUsageID,584592,18485,int64
parentNameUsageID,0,0,float64
originalNameUsageID,0,0,float64
nameAccordingToID,0,0,float64
namePublishedInID,0,0,float64
taxonConceptID,0,0,float64
scientificName,584592,18875,object
acceptedNameUsage,0,0,float64
parentNameUsage,0,0,float64
originalNameUsage,0,0,float64
nameAccordingTo,0,0,float64
namePublishedIn,0,0,float64
namePublishedInYear,0,0,float64
higherClassification,584592,185,object
kingdom,584592,1,object
phylum,584587,1,object
class,584587,1,object
order,584572,42,object
superfamily,0,0,float64
family,584575,239,object
subfamily,0,0,float64
tribe,0,0,float64
subtribe,0,0,float64
genus,584254,2196,object
genericName,584097,2024,object
subgenus,0,0,float64
infragenericEpithet,0,0,float64
specificEpithet,576675,4643,object
infraspecificEpithet,275917,6225,object
cultivarEpithet,0,0,float64
taxonRank,584592,6,object
verbatimTaxonRank,0,0,float64
vernacularName,0,0,float64
nomenclaturalCode,0,0,float64
taxonomicStatus,584592,3,object
nomenclaturalStatus,0,0,float64
taxonRemarks,0,0,float64
datasetKey,584592,1,object
publishingCountry,584592,1,object
lastInterpreted,584592,183965,object
elevation,86592,1379,float64
elevationAccuracy,9840,89,float64
depth,0,0,float64
depthAccuracy,0,0,float64
distanceFromCentroidInMeters,8,5,float64
issue,584592,74,object
mediaType,558497,65,object
hasCoordinate,584592,2,bool
hasGeospatialIssues,584592,2,bool
taxonKey,584592,18875,int64
acceptedTaxonKey,584592,18485,int64
kingdomKey,584592,1,int64
phylumKey,584587,1,float64
classKey,584587,1,float64
orderKey,584572,42,float64
familyKey,584575,239,float64
genusKey,584254,2196,float64
subgenusKey,0,0,float64
speciesKey,576739,8234,float64
species,576739,8234,object
acceptedScientificName,584592,18485,object
verbatimScientificName,584592,22061,object
typifiedName,0,0,float64
protocol,584592,1,object
lastParsed,584592,183965,object
lastCrawled,584592,1,object
