column_name,non_null,unique_count,dtype
gbifID,1926393,1926393,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,1926393,1,object
modified,1926393,113487,object
publisher,1926393,1,object
references,0,0,float64
rightsHolder,0,0,float64
type,0,0,float64
institutionID,1926393,1,object
collectionID,1926393,1,object
datasetID,0,0,float64
institutionCode,1926393,1,object
collectionCode,1926393,1,object
datasetName,1926393,1,object
ownerInstitutionCode,0,0,float64
basisOfRecord,1926393,3,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,1926393,1926393,object
catalogNumber,1926388,1355393,object
recordNumber,121753,119495,object
recordedBy,1162282,37540,object
recordedByID,0,0,float64
individualCount,1926237,1067,float64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,123413,3,object
lifeStage,37537,19,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,1926393,4,object
preparations,1924533,527,object
disposition,2,2,float64
associatedOccurrences,2,2,float64
associatedReferences,2,2,float64
associatedSequences,5124,5098,object
associatedTaxa,2,2,float64
otherCatalogNumbers,0,0,float64
occurrenceRemarks,781908,384906,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,0,0,float64
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,2,2,object
materialSampleID,2,1,object
eventID,1,1,object
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,586634,62652,object
eventDate,1237782,45561,object
eventTime,0,0,float64
startDayOfYear,1084080,366,float64
endDayOfYear,1084082,368,object
year,1237120,207,float64
month,1125454,12,float64
day,1039340,31,float64
verbatimEventDate,753194,47776,object
habitat,69257,18961,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,1,1,float64
fieldNotes,1,1,float64
eventRemarks,0,0,float64
locationID,942327,94703,object
higherGeographyID,0,0,float64
higherGeography,1858562,12370,object
continent,899002,7,object
waterBody,1259742,1655,object
islandGroup,770,20,object
island,978,58,object
countryCode,1815634,239,object
stateProvince,982720,1326,object
county,139973,2594,object
municipality,0,0,float64
locality,1284007,204742,object
verbatimLocality,0,0,float64
verbatimElevation,462,126,object
verticalDatum,0,0,float64
verbatimDepth,26244,1530,object
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,999047,70087,float64
decimalLongitude,999047,74625,float64
coordinateUncertaintyInMeters,0,0,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,679508,9,object
verbatimSRS,2,2,object
footprintWKT,0,0,float64
footprintSRS,2,2,float64
footprintSpatialFit,2,2,float64
georeferencedBy,2,2,float64
georeferencedDate,2,1,float64
georeferenceProtocol,660603,115,object
georeferenceSources,3,2,object
georeferenceRemarks,30288,4822,object
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
