,column_name
0,gbifID
1,license
2,modified
3,publisher
4,institutionID
5,collectionID
6,institutionCode
7,collectionCode
8,datasetName
9,basisOfRecord
10,occurrenceID
11,catalogNumber
12,recordNumber
13,recordedBy
14,individualCount
15,occurrenceStatus
16,preparations
17,occurrenceRemarks
18,fieldNumber
19,eventDate
20,startDayOfYear
21,endDayOfYear
22,year
23,month
24,day
25,verbatimEventDate
26,locationID
27,higherGeography
28,continent
29,waterBody
30,islandGroup
31,island
32,countryCode
33,stateProvince
34,county
35,locality
36,verbatimElevation
37,verbatimDepth
38,decimalLatitude
39,decimalLongitude
40,verbatimCoordinateSystem
41,georeferenceProtocol
42,georeferenceRemarks
43,earliestEraOrLowestErathem
44,latestEraOrHighestErathem
45,earliestPeriodOrLowestSystem
46,latestPeriodOrHighestSystem
47,earliestEpochOrLowestSeries
48,latestEpochOrHighestSeries
49,earliestAgeOrLowestStage
50,latestAgeOrHighestStage
51,group
52,formation
53,member
54,typeStatus
55,identifiedBy
56,acceptedNameUsageID
57,scientificName
58,higherClassification
59,kingdom
60,phylum
61,class
62,order
63,family
64,genus
65,genericName
66,specificEpithet
67,infraspecificEpithet
68,taxonRank
69,taxonomicStatus
70,datasetKey
71,publishingCountry
72,lastInterpreted
73,distanceFromCentroidInMeters
74,issue
75,mediaType
76,hasCoordinate
77,hasGeospatialIssues
78,taxonKey
79,acceptedTaxonKey
80,kingdomKey
81,phylumKey
82,classKey
83,orderKey
84,familyKey
85,genusKey
86,speciesKey
87,species
88,acceptedScientificName
89,verbatimScientificName
90,typifiedName
91,protocol
92,lastParsed
93,lastCrawled
94,repatriated
95,isSequenced
96,gbifRegion
97,publishedByGbifRegion
98,level0Gid
99,level0Name
100,level1Gid
101,level1Name
102,level2Gid
103,level2Name
104,level3Gid
105,level3Name
106,iucnRedListCategory
