,column_name,non_null,unique_count,dtype
0,gbifID,455212,455212,int64
1,accessRights,0,0,float64
2,bibliographicCitation,0,0,float64
3,language,0,0,float64
4,license,455212,1,object
5,modified,455212,55507,object
6,publisher,455212,1,object
7,references,0,0,float64
8,rightsHolder,0,0,float64
9,type,0,0,float64
10,institutionID,455212,1,object
11,collectionID,455212,1,object
12,datasetID,0,0,float64
13,institutionCode,455212,1,object
14,collectionCode,455212,1,object
15,datasetName,455212,1,object
16,ownerInstitutionCode,0,0,float64
17,basisOfRecord,455212,2,object
18,informationWithheld,0,0,float64
19,dataGeneralizations,0,0,float64
20,dynamicProperties,0,0,float64
21,occurrenceID,455212,455212,object
22,catalogNumber,455209,455204,object
23,recordNumber,20826,20814,object
24,recordedBy,167900,7883,object
25,recordedByID,0,0,float64
26,individualCount,455197,619,float64
27,organismQuantity,0,0,float64
28,organismQuantityType,0,0,float64
29,sex,3,1,object
30,lifeStage,0,0,float64
31,reproductiveCondition,0,0,float64
32,caste,0,0,float64
33,behavior,0,0,float64
34,vitality,0,0,float64
35,establishmentMeans,0,0,float64
36,degreeOfEstablishment,0,0,float64
37,pathway,0,0,float64
38,georeferenceVerificationStatus,0,0,float64
39,occurrenceStatus,455212,2,object
40,preparations,109028,325,object
41,disposition,0,0,float64
42,associatedOccurrences,0,0,float64
43,associatedReferences,0,0,float64
44,associatedSequences,450,447,object
45,associatedTaxa,0,0,float64
46,otherCatalogNumbers,0,0,float64
47,occurrenceRemarks,164727,80318,object
48,organismID,0,0,float64
49,organismName,0,0,float64
50,organismScope,0,0,float64
51,associatedOrganisms,0,0,float64
52,previousIdentifications,0,0,float64
53,organismRemarks,0,0,float64
54,materialEntityID,0,0,float64
55,materialEntityRemarks,0,0,float64
56,verbatimLabel,3,3,float64
57,materialSampleID,3,3,float64
58,eventID,1,1,float64
59,parentEventID,0,0,float64
60,eventType,0,0,float64
61,fieldNumber,181001,25291,object
62,eventDate,394971,30514,object
63,eventTime,0,0,float64
64,startDayOfYear,363712,366,float64
65,endDayOfYear,363712,366,float64
66,year,394712,191,float64
67,month,372455,12,float64
68,day,346509,32,object
69,verbatimEventDate,362740,34047,object
70,habitat,0,0,float64
71,samplingProtocol,0,0,float64
72,sampleSizeValue,0,0,float64
73,sampleSizeUnit,0,0,float64
