column_name,non_null,unique_count,dtype
gbifID,290898,290898,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,290898,1,object
modified,290898,1170,object
publisher,290898,1,object
references,0,0,float64
rightsHolder,290898,1,object
type,0,0,float64
institutionID,290898,1,object
collectionID,0,0,float64
datasetID,0,0,float64
institutionCode,0,0,float64
collectionCode,290898,1,object
datasetName,0,0,float64
ownerInstitutionCode,0,0,float64
basisOfRecord,290898,1,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,290898,290898,object
catalogNumber,290898,290898,object
recordNumber,13290,5837,object
recordedBy,197681,11884,object
recordedByID,0,0,float64
individualCount,260360,54,float64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,192327,2,object
lifeStage,80590,7,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,290898,1,object
preparations,290898,132,object
disposition,0,0,float64
associatedOccurrences,0,0,float64
associatedReferences,0,0,float64
associatedSequences,0,0,float64
associatedTaxa,3,1,object
otherCatalogNumbers,0,0,float64
occurrenceRemarks,0,0,float64
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,0,0,float64
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,0,0,float64
eventDate,216468,44850,object
eventTime,0,0,float64
startDayOfYear,216468,366,float64
endDayOfYear,216468,366,float64
year,212068,227,float64
month,203622,12,float64
day,189285,31,float64
verbatimEventDate,230996,75505,object
habitat,0,0,float64
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,0,0,float64
higherGeographyID,0,0,float64
higherGeography,0,0,float64
continent,196507,7,object
waterBody,0,0,float64
islandGroup,0,0,float64
island,90298,1622,object
countryCode,243695,219,object
stateProvince,153716,7178,object
county,0,0,float64
municipality,0,0,float64
locality,211251,29704,object
verbatimLocality,0,0,float64
verbatimElevation,2587,716,object
verticalDatum,0,0,float64
verbatimDepth,0,0,float64
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,151786,8176,float64
decimalLongitude,151786,9940,float64
coordinateUncertaintyInMeters,1659,173,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,0,0,float64
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,0,0,float64
georeferencedDate,0,0,float64
georeferenceProtocol,0,0,float64
georeferenceSources,0,0,float64
georeferenceRemarks,0,0,float64
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
latestEonOrHighestEonothem,0,0,float64
earliestEraOrLowestErathem,0,0,float64
latestEraOrHighestErathem,0,0,float64
earliestPeriodOrLowestSystem,0,0,float64
latestPeriodOrHighestSystem,0,0,float64
earliestEpochOrLowestSeries,0,0,float64
latestEpochOrHighestSeries,0,0,float64
earliestAgeOrLowestStage,0,0,float64
latestAgeOrHighestStage,0,0,float64
lowestBiostratigraphicZone,0,0,float64
highestBiostratigraphicZone,0,0,float64
lithostratigraphicTerms,0,0,float64
group,0,0,float64
formation,0,0,float64
member,0,0,float64
bed,0,0,float64
identificationID,0,0,float64
verbatimIdentification,0,0,float64
identificationQualifier,0,0,float64
typeStatus,3471,6,object
identifiedBy,412,48,object
identifiedByID,0,0,float64
dateIdentified,257,40,object
identificationReferences,0,0,float64
identificationVerificationStatus,0,0,float64
identificationRemarks,0,0,float64
taxonID,0,0,float64
scientificNameID,0,0,float64
acceptedNameUsageID,290897,14746,float64
parentNameUsageID,0,0,float64
originalNameUsageID,0,0,float64
nameAccordingToID,0,0,float64
namePublishedInID,0,0,float64
taxonConceptID,0,0,float64
scientificName,290898,15605,object
acceptedNameUsage,0,0,float64
parentNameUsage,0,0,float64
originalNameUsage,0,0,float64
nameAccordingTo,0,0,float64
namePublishedIn,0,0,float64
namePublishedInYear,0,0,float64
higherClassification,290898,310,object
kingdom,290898,2,object
phylum,290132,3,object
class,290128,6,object
order,289406,53,object
superfamily,0,0,float64
family,289356,250,object
subfamily,0,0,float64
tribe,0,0,float64
subtribe,0,0,float64
genus,289494,2192,object
genericName,289262,2287,object
subgenus,0,0,float64
infragenericEpithet,0,0,float64
specificEpithet,280099,4206,object
infraspecificEpithet,165199,5180,object
cultivarEpithet,0,0,float64
taxonRank,290898,10,object
verbatimTaxonRank,0,0,float64
vernacularName,0,0,float64
nomenclaturalCode,290898,1,object
taxonomicStatus,290897,3,object
nomenclaturalStatus,0,0,float64
taxonRemarks,0,0,float64
datasetKey,290898,1,object
publishingCountry,290898,1,object
lastInterpreted,290898,24995,object
elevation,0,0,float64
elevationAccuracy,0,0,float64
depth,0,0,float64
depthAccuracy,0,0,float64
distanceFromCentroidInMeters,1660,227,float64
issue,290898,78,object
mediaType,83398,83,object
hasCoordinate,290898,2,bool
hasGeospatialIssues,290898,2,bool
taxonKey,290898,15605,int64
acceptedTaxonKey,290897,14746,float64
kingdomKey,290898,2,int64
phylumKey,290132,3,float64
classKey,290128,6,float64
orderKey,289406,53,float64
familyKey,289356,250,float64
genusKey,289494,2200,float64
subgenusKey,0,0,float64
speciesKey,280330,7224,float64
