column_name,unique_count
gbifID,604626
modified,56588
basisOfRecord,2
occurrenceID,604626
catalogNumber,371195
recordNumber,33
recordedBy,18726
individualCount,941
sex,2
lifeStage,10
preparations,272
occurrenceRemarks,31232
fieldNumber,3091
eventDate,45561
startDayOfYear,366
endDayOfYear,366
year,190
month,12
day,31
verbatimEventDate,67985
habitat,89
locationID,185
higherGeography,10596
continent,7
islandGroup,72
island,436
countryCode,217
stateProvince,3068
county,4068
locality,76610
verbatimElevation,1024
minimumDistanceAboveSurfaceInMeters,2
decimalLatitude,38003
decimalLongitude,36962
coordinateUncertaintyInMeters,1493
pointRadiusSpatialFit,2
georeferencedBy,3
georeferenceProtocol,65
georeferenceSources,2
georeferenceRemarks,1134
latestEonOrHighestEonothem,2
latestPeriodOrHighestSystem,2
latestEpochOrHighestSeries,4
earliestAgeOrLowestStage,2
highestBiostratigraphicZone,2
lithostratigraphicTerms,4
member,2
bed,2
identificationQualifier,15
typeStatus,11
identifiedBy,2736
identificationVerificationStatus,3
identificationRemarks,3
taxonID,2
acceptedNameUsageID,188378
namePublishedInID,2
scientificName,203338
parentNameUsage,3
originalNameUsage,2
higherClassification,3456
kingdom,4
phylum,9
class,13
order,74
superfamily,2
family,1494
subfamily,2
genus,35722
genericName,38103
specificEpithet,74464
infraspecificEpithet,4964
cultivarEpithet,2
taxonRank,12
vernacularName,2
taxonomicStatus,4
datasetKey,2
publishingCountry,2
lastInterpreted,186893
elevation,1990
elevationAccuracy,215
depth,12
depthAccuracy,2
distanceFromCentroidInMeters,259
issue,143
mediaType,19
hasCoordinate,4
hasGeospatialIssues,2
taxonKey,203336
acceptedTaxonKey,188378
kingdomKey,2
phylumKey,7
classKey,13
orderKey,74
familyKey,1493
genusKey,35818
speciesKey,169008
species,168987
acceptedScientificName,188378
verbatimScientificName,245043
lastParsed,186894
lastCrawled,3
repatriated,2
gbifRegion,7
publishedByGbifRegion,3
level0Gid,212
level0Name,212
level1Gid,1995
level1Name,1914
level2Gid,8078
level2Name,6808
level3Gid,4043
level3Name,3911
iucnRedListCategory,10
