column_name,non_null,unique_count,dtype
gbifID,584201,584201,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,584201,1,object
modified,584201,11116,object
publisher,584201,1,object
references,0,0,float64
rightsHolder,0,0,float64
type,0,0,float64
institutionID,584201,1,object
collectionID,584201,1,object
datasetID,0,0,float64
institutionCode,584201,1,object
collectionCode,584201,1,object
datasetName,584201,1,object
ownerInstitutionCode,0,0,float64
basisOfRecord,584201,2,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,584201,584201,object
catalogNumber,584201,584201,object
recordNumber,276,273,object
recordedBy,0,0,float64
recordedByID,0,0,float64
individualCount,584197,158,float64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,52259,3,object
lifeStage,41447,12,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,584201,1,object
preparations,578517,31,object
disposition,0,0,float64
associatedOccurrences,0,0,float64
associatedReferences,0,0,float64
associatedSequences,721,719,object
associatedTaxa,0,0,float64
otherCatalogNumbers,0,0,float64
occurrenceRemarks,26583,5339,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,0,0,float64
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,8,2,object
eventDate,545061,31039,object
eventTime,0,0,float64
startDayOfYear,498031,366,float64
endDayOfYear,498031,366,float64
year,544601,184,float64
month,525176,12,float64
day,483357,31,float64
verbatimEventDate,584150,42558,object
habitat,0,0,float64
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,0,0,float64
higherGeographyID,0,0,float64
higherGeography,579787,6286,object
continent,574132,6,object
waterBody,28207,3,object
islandGroup,19877,41,object
island,8065,39,object
countryCode,573364,198,object
stateProvince,567200,2059,object
county,392644,3056,object
municipality,0,0,float64
locality,581898,56242,object
verbatimLocality,0,0,float64
verbatimElevation,252593,2882,object
verticalDatum,0,0,float64
verbatimDepth,0,0,float64
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,421534,24490,float64
decimalLongitude,421534,24797,float64
coordinateUncertaintyInMeters,144983,7350,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,0,0,float64
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,0,0,float64
georeferencedDate,0,0,float64
georeferenceProtocol,145065,3371,object
georeferenceSources,0,0,float64
georeferenceRemarks,140576,3681,object
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
latestEonOrHighestEonothem,0,0,float64
earliestEraOrLowestErathem,0,0,float64
latestEraOrHighestErathem,0,0,float64
earliestPeriodOrLowestSystem,0,0,float64
latestPeriodOrHighestSystem,0,0,float64
earliestEpochOrLowestSeries,0,0,float64
latestEpochOrHighestSeries,0,0,float64
earliestAgeOrLowestStage,0,0,float64
latestAgeOrHighestStage,0,0,float64
lowestBiostratigraphicZone,0,0,float64
highestBiostratigraphicZone,0,0,float64
lithostratigraphicTerms,0,0,float64
group,0,0,float64
formation,0,0,float64
member,0,0,float64
bed,0,0,float64
identificationID,0,0,float64
verbatimIdentification,0,0,float64
identificationQualifier,417,3,object
typeStatus,13131,6,object
identifiedBy,76,8,object
identifiedByID,0,0,float64
dateIdentified,0,0,float64
identificationReferences,0,0,float64
identificationVerificationStatus,0,0,float64
identificationRemarks,0,0,float64
taxonID,0,0,float64
scientificNameID,0,0,float64
acceptedNameUsageID,584201,8475,int64
parentNameUsageID,0,0,float64
originalNameUsageID,0,0,float64
nameAccordingToID,0,0,float64
namePublishedInID,0,0,float64
taxonConceptID,0,0,float64
scientificName,584201,9012,object
acceptedNameUsage,0,0,float64
parentNameUsage,0,0,float64
originalNameUsage,0,0,float64
nameAccordingTo,0,0,float64
namePublishedIn,0,0,float64
namePublishedInYear,0,0,float64
higherClassification,584199,167,object
kingdom,584201,1,object
phylum,584196,1,object
class,583998,5,object
order,395161,3,object
